HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.ours,Answer.test1,Approve,Reject
35JDMRECDA2XIDAF7147NZBILZ2GEC,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,3DL65MZB8K8NOLS4VHDQLSLQFMGCE6,APF4DODEF8HBC,Approved,Sat Nov 14 22:43:04 PST 2020,Sat Nov 14 22:44:32 PST 2020,Tue Nov 17 22:44:32 PST 2020,Sat Nov 14 23:26:14 PST 2020,,,88,100% (55/55),100% (55/55),100% (54/54),https://github.com/jiangolder/results/blob/master/ho3d/0.png?raw=true,4,,
35JDMRECDA2XIDAF7147NZBILZ2GEC,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,3EKVH9QME5X5YXM22TD03XUJ3J32DV,A1GMYDH5MKN105,Approved,Sat Nov 14 22:46:08 PST 2020,Sat Nov 14 22:54:07 PST 2020,Tue Nov 17 22:54:07 PST 2020,Sat Nov 14 23:26:14 PST 2020,,,479,100% (32/32),100% (32/32),100% (29/29),https://github.com/jiangolder/results/blob/master/ho3d/0.png?raw=true,4,,
35JDMRECDA2XIDAF7147NZBILZ2GEC,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,3QECW5O0KOU4EJ1M62FD68FHQFHT55,A3KU8DC7HJOGCM,Approved,Sat Nov 14 22:43:07 PST 2020,Sat Nov 14 22:43:22 PST 2020,Tue Nov 17 22:43:22 PST 2020,Sat Nov 14 23:26:14 PST 2020,,,15,100% (11/11),100% (11/11),100% (11/11),https://github.com/jiangolder/results/blob/master/ho3d/0.png?raw=true,4,,
3UUIU9GZDBY1RZ3SG0ABIOKUY0BT5X,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,31LVTDXBLE350TRFU0QPNIAWOKKRLE,A1GMYDH5MKN105,Approved,Sat Nov 14 22:43:34 PST 2020,Sat Nov 14 22:53:49 PST 2020,Tue Nov 17 22:53:49 PST 2020,Sat Nov 14 23:26:14 PST 2020,,,615,100% (32/32),100% (32/32),100% (29/29),https://github.com/jiangolder/results/blob/master/ho3d/1000.png?raw=true,4,,
3UUIU9GZDBY1RZ3SG0ABIOKUY0BT5X,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,35GCEFQ6ICHXMGNHYBG2DZIEXFBZ30,APF4DODEF8HBC,Approved,Sat Nov 14 22:36:12 PST 2020,Sat Nov 14 22:37:16 PST 2020,Tue Nov 17 22:37:16 PST 2020,Sat Nov 14 23:26:14 PST 2020,,,64,100% (55/55),100% (55/55),100% (54/54),https://github.com/jiangolder/results/blob/master/ho3d/1000.png?raw=true,5,,
3UUIU9GZDBY1RZ3SG0ABIOKUY0BT5X,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,3NAPMVF0Z38PHOLSBGAE35KNH80727,A3KU8DC7HJOGCM,Approved,Sat Nov 14 22:45:38 PST 2020,Sat Nov 14 22:49:26 PST 2020,Tue Nov 17 22:49:26 PST 2020,Sat Nov 14 23:26:15 PST 2020,,,228,100% (11/11),100% (11/11),100% (11/11),https://github.com/jiangolder/results/blob/master/ho3d/1000.png?raw=true,4,,
372AGES0JAYXD3AAIHOBASAW3EOXRY,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,3G0WWMR1U2DVCSF0TYH4VK4GXTINQB,A18WFPSLFV4FKY,Approved,Sat Nov 14 22:41:15 PST 2020,Sat Nov 14 22:48:10 PST 2020,Tue Nov 17 22:48:10 PST 2020,Sat Nov 14 23:26:15 PST 2020,,,415,100% (16/16),100% (16/16),100% (15/15),https://github.com/jiangolder/results/blob/master/ho3d/10000.png?raw=true,4,,
372AGES0JAYXD3AAIHOBASAW3EOXRY,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,3QHK8ZVMITBIKMAQY34ZN35S6YHLBV,A345TDMHP3DQ3G,Approved,Sat Nov 14 22:41:50 PST 2020,Sat Nov 14 22:41:53 PST 2020,Tue Nov 17 22:41:53 PST 2020,Sat Nov 14 23:26:15 PST 2020,,,3,100% (11/11),100% (11/11),100% (11/11),https://github.com/jiangolder/results/blob/master/ho3d/10000.png?raw=true,5,,
372AGES0JAYXD3AAIHOBASAW3EOXRY,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,3ZSY5X72N44D6EUC7S6HFZEQJPPORS,A1Z8TF04ZG3VRE,Approved,Sat Nov 14 22:42:33 PST 2020,Sat Nov 14 22:42:48 PST 2020,Tue Nov 17 22:42:48 PST 2020,Sat Nov 14 23:26:15 PST 2020,,,15,100% (6/6),100% (6/6),100% (5/5),https://github.com/jiangolder/results/blob/master/ho3d/10000.png?raw=true,2,,
3QMELQS6ZB4KUOQEHUFLAFXC6APR6Y,3831ZVZNKKPHYCA5KY2RAL41IM5Y5I,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.01 ,Sat Nov 14 22:35:13 PST 2020,3,BatchId:4251306;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 22:35:13 PST 2020,,,38F71OA9G0PS3L4R3HRA66B2L1ZMFG,A2ZG5ROB13SG36,Approved,Sat Nov 14 22:43:42 PST 2020,Sat Nov 14 22:43:52 PST 2020,Tue Nov 17 22:43:52 PST 2020,Sat Nov 14 23:26:15 PST 2020,,,10,100% (2/2),100% (2/2),100% (2/2),https://github.com/jiangolder/results/blob/master/ho3d/10300.png?raw=true,2,,
