HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.ours,Answer.test1,Approve,Reject
3K2CEDRADHUZZ6OY8ZRXZQVGKVZTML,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,3A9AA95AT3F6MR8FPL6T1YEK1BKP5I,A1LGWK9G8F9P6T,Approved,Sat Nov 14 19:06:39 PST 2020,Sat Nov 14 19:06:43 PST 2020,Tue Nov 17 19:06:43 PST 2020,Sat Nov 14 19:49:07 PST 2020,,,4,100% (29/29),100% (29/29),100% (29/29),https://github.com/jiangolder/results/blob/master/obman/0.png?raw=true,4,,
3K2CEDRADHUZZ6OY8ZRXZQVGKVZTML,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,3R6BYFZZPE53XX3VHOTJHNR0S47XFX,ABLC1ZB6E7IRR,Approved,Sat Nov 14 19:07:18 PST 2020,Sat Nov 14 19:08:23 PST 2020,Tue Nov 17 19:08:23 PST 2020,Sat Nov 14 19:49:08 PST 2020,,,65,100% (12/12),100% (12/12),100% (12/12),https://github.com/jiangolder/results/blob/master/obman/0.png?raw=true,4,,
3K2CEDRADHUZZ6OY8ZRXZQVGKVZTML,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,3WT783CTPIAPHIGKLQB0KKF5CORCBS,A12TSLY8GXWHB4,Approved,Sat Nov 14 19:06:00 PST 2020,Sat Nov 14 19:06:10 PST 2020,Tue Nov 17 19:06:10 PST 2020,Sat Nov 14 19:49:08 PST 2020,,,10,100% (10/10),100% (10/10),100% (10/10),https://github.com/jiangolder/results/blob/master/obman/0.png?raw=true,4,,
3IV1AEQ4EX6Q0EQP243AS27C2OK8J8,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,352YTHGRO26WDR6RS3FENX6FFOF4HN,A2D0AXWV0BXA7P,Approved,Sat Nov 14 19:04:40 PST 2020,Sat Nov 14 19:04:50 PST 2020,Tue Nov 17 19:04:50 PST 2020,Sat Nov 14 19:49:08 PST 2020,,,10,100% (10/10),100% (10/10),100% (10/10),https://github.com/jiangolder/results/blob/master/obman/1.png?raw=true,4,,
3IV1AEQ4EX6Q0EQP243AS27C2OK8J8,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,37W3JXSD6D1U8OF0C9PL4PK9PDQWYZ,A1S8KMGKJACGVO,Approved,Sat Nov 14 19:05:47 PST 2020,Sat Nov 14 19:05:58 PST 2020,Tue Nov 17 19:05:58 PST 2020,Sat Nov 14 19:49:08 PST 2020,,,11,100% (11/11),100% (11/11),100% (11/11),https://github.com/jiangolder/results/blob/master/obman/1.png?raw=true,4,,
3IV1AEQ4EX6Q0EQP243AS27C2OK8J8,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,3COPXFW7XI594ATIW8AZ3NX2Y1FKPY,A1RUGTYRR1I1T9,Approved,Sat Nov 14 19:07:21 PST 2020,Sat Nov 14 19:08:41 PST 2020,Tue Nov 17 19:08:41 PST 2020,Sat Nov 14 19:49:08 PST 2020,,,80,100% (5/5),100% (5/5),100% (5/5),https://github.com/jiangolder/results/blob/master/obman/1.png?raw=true,4,,
3JAOYN9IIRVTE3IUN2GRLEICQ5633Z,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,31T4R4OBOZ92F6DU89ZKFIT9TY0C76,AOVWFZPOQ1J57,Approved,Sat Nov 14 19:05:51 PST 2020,Sat Nov 14 19:09:48 PST 2020,Tue Nov 17 19:09:48 PST 2020,Sat Nov 14 19:49:08 PST 2020,,,237,100% (33/33),100% (33/33),100% (33/33),https://github.com/jiangolder/results/blob/master/obman/10.png?raw=true,4,,
3JAOYN9IIRVTE3IUN2GRLEICQ5633Z,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,31Z0PCVWUR8J1NF5UVUA4STDHK07TK,A2BXNH0WMOXAIU,Approved,Sat Nov 14 19:05:48 PST 2020,Sat Nov 14 19:06:03 PST 2020,Tue Nov 17 19:06:03 PST 2020,Sat Nov 14 19:49:09 PST 2020,,,15,100% (15/15),100% (15/15),100% (15/15),https://github.com/jiangolder/results/blob/master/obman/10.png?raw=true,2,,
3JAOYN9IIRVTE3IUN2GRLEICQ5633Z,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,3EJJQNKU9YY3EX8P3FBRVQHP72YRHS,A1WF1X8PQQJ2OQ,Approved,Sat Nov 14 19:04:33 PST 2020,Sat Nov 14 19:04:54 PST 2020,Tue Nov 17 19:04:54 PST 2020,Sat Nov 14 19:49:09 PST 2020,,,21,100% (25/25),100% (25/25),100% (25/25),https://github.com/jiangolder/results/blob/master/obman/10.png?raw=true,5,,
3UUIU9GZDBY1RZ3SG0ABIOKUY0A5T8,3EXOM20K1U2NPYI4TB68XUBPEH35PW,Answer a survey about your opinions,Give us your opinion about these human grasp in the image,survey,$0.03 ,Sat Nov 14 19:02:34 PST 2020,3,BatchId:4251231;OriginalHitTemplateId:928390912;,1800,259200,Tue Nov 17 19:02:34 PST 2020,,,33C7UALJVSRMSH8F2H26CM6D0LF81Z,A12TSLY8GXWHB4,Approved,Sat Nov 14 19:06:10 PST 2020,Sat Nov 14 19:06:26 PST 2020,Tue Nov 17 19:06:26 PST 2020,Sat Nov 14 19:49:09 PST 2020,,,16,100% (10/10),100% (10/10),100% (10/10),https://github.com/jiangolder/results/blob/master/obman/102.png?raw=true,2,,
